quote_tags,author_url,author_name,born_date,born_location,quote_title
"change,deep-thoughts,thinking,world",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"March 14, 1879","Ulm, Germany",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
"abilities,choices",http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom","“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
"inspirational,life,live,miracle,miracles",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"March 14, 1879","Ulm, Germany",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
"aliteracy,books,classic,humor",http://quotes.toscrape.com/author/Jane-Austen,Jane Austen,"December 16, 1775","Steventon Rectory, Hampshire, The United Kingdom","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
"be-yourself,inspirational",http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,"June 01, 1926",The United States,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
"adulthood,success,value",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"March 14, 1879","Ulm, Germany",“Try not to become a man of success. Rather become a man of value.”
"life,love",http://quotes.toscrape.com/author/Andre-Gide,André Gide,"November 22, 1869","Paris, France",“It is better to be hated for what you are than to be loved for what you are not.”
"edison,failure,inspirational,paraphrased",http://quotes.toscrape.com/author/Thomas-A-Edison,Thomas A. Edison,"February 11, 1847","Milan, Ohio, The United States","“I have not failed. I've just found 10,000 ways that won't work.”"
misattributed-eleanor-roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt,Eleanor Roosevelt,"October 11, 1884",The United States,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
"humor,obvious,simile",http://quotes.toscrape.com/author/Steve-Martin,Steve Martin,"August 14, 1945","Waco, Texas, The United States","“A day without sunshine is like, you know, night.”"
"friends,heartbreak,inspirational,life,love,sisters",http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,"June 01, 1926",The United States,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
"courage,friends",http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom","“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
"simplicity,understand",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"March 14, 1879","Ulm, Germany","“If you can't explain it to a six year old, you don't understand it yourself.”"
love,http://quotes.toscrape.com/author/Bob-Marley,Bob Marley,"February 06, 1945","Nine Mile, Saint Ann, Jamaica","“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
fantasy,http://quotes.toscrape.com/author/Dr-Seuss,Dr. Seuss,"March 02, 1904","Springfield, MA, The United States","“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
