quote_tags,author_url,author_name,born_date,born_location,quote_title
"life,navigation",http://quotes.toscrape.com/author/Douglas-Adams,Douglas Adams,"March 11, 1952","Cambridge, England, The United Kingdom","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy",http://quotes.toscrape.com/author/Elie-Wiesel,Elie Wiesel,"September 30, 1928","Sighet, Romania","“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage",http://quotes.toscrape.com/author/Friedrich-Nietzsche,Friedrich Nietzsche,"October 15, 1844","Röcken bei Lützen, Prussian Province of Saxony, Germany","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
"books,contentment,friends,friendship,life",http://quotes.toscrape.com/author/Mark-Twain,Mark Twain,"November 30, 1835","Florida, Missouri, The United States","“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
"fate,life,misattributed-john-lennon,planning,plans",http://quotes.toscrape.com/author/Allen-Saunders,Allen Saunders,"April 24, 1899",The United States,“Life is what happens to us while we are making other plans.”
"love,poetry",http://quotes.toscrape.com/author/Pablo-Neruda,Pablo Neruda,"July 12, 1904","Parral, Chile","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
happiness,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,Ralph Waldo Emerson,"May 25, 1803","Boston, Massachusetts, The United States",“For every minute you are angry you lose sixty seconds of happiness.”
attributed-no-source,http://quotes.toscrape.com/author/Mother-Teresa,Mother Teresa,"August 26, 1910","Skopje, Macedonia, the Former Yugoslav Republic of","“If you judge people, you have no time to love them.”"
"humor,religion",http://quotes.toscrape.com/author/Garrison-Keillor,Garrison Keillor,"August 07, 1942","Anoka, Minnesota, The United States",“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
humor,http://quotes.toscrape.com/author/Jim-Henson,Jim Henson,"September 24, 1936","Greenville, Mississippi, The United States",“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
"comedy,life,yourself",http://quotes.toscrape.com/author/Dr-Seuss,Dr. Seuss,"March 02, 1904","Springfield, MA, The United States","“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
"children,fairy-tales",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"March 14, 1879","Ulm, Germany","“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”"
,http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom","“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”"
imagination,http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"March 14, 1879","Ulm, Germany",“Logic will get you from A to Z; imagination will get you everywhere.”
music,http://quotes.toscrape.com/author/Bob-Marley,Bob Marley,"February 06, 1945","Nine Mile, Saint Ann, Jamaica","“One good thing about music, when it hits you, you feel no pain.”"
"learning,reading,seuss",http://quotes.toscrape.com/author/Dr-Seuss,Dr. Seuss,"March 02, 1904","Springfield, MA, The United States","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
dumbledore,http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom","“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”"
friendship,http://quotes.toscrape.com/author/Bob-Marley,Bob Marley,"February 06, 1945","Nine Mile, Saint Ann, Jamaica","“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
"misattributed-to-mother-teresa,paraphrased",http://quotes.toscrape.com/author/Mother-Teresa,Mother Teresa,"August 26, 1910","Skopje, Macedonia, the Former Yugoslav Republic of",“Not all of us can do great things. But we can do small things with great love.”
"death,inspirational",http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom","“To the well-organized mind, death is but the next great adventure.”"
"chocolate,food,humor",http://quotes.toscrape.com/author/Charles-M-Schulz,Charles M. Schulz,"November 26, 1922","Minneapolis, MN, The United States",“All you need is love. But a little chocolate now and then doesn't hurt.”
"misattributed-to-c-s-lewis,reading",http://quotes.toscrape.com/author/William-Nicholson,William Nicholson,"January 12, 1948","Lewes, Sussex, The United Kingdom",“We read to know we're not alone.”
"knowledge,learning,understanding,wisdom",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"March 14, 1879","Ulm, Germany",“Any fool can know. The point is to understand.”
"books,library",http://quotes.toscrape.com/author/Jorge-Luis-Borges,Jorge Luis Borges,"August 24, 1899","Buenos Aires, Argentina",“I have always imagined that Paradise will be a kind of library.”
inspirational,http://quotes.toscrape.com/author/George-Eliot,George Eliot,"November 22, 1819","South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom",“It is never too late to be what you might have been.”
"read,readers,reading,reading-books",http://quotes.toscrape.com/author/George-R-R-Martin,George R.R. Martin,"September 20, 1948","Bayonne, New Jersey, The United States","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
"books,inspirational,reading,tea",http://quotes.toscrape.com/author/C-S-Lewis,C.S. Lewis,"November 29, 1898","Belfast, Ireland",“You can never get a cup of tea large enough or a book long enough to suit me.”
,http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,"June 01, 1926",The United States,“You believe lies so you eventually learn to trust no one but yourself.”
"girls,love",http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,"June 01, 1926",The United States,"“If you can make a woman laugh, you can make her do anything.”"
"life,simile",http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"March 14, 1879","Ulm, Germany","“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
love,http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,"June 01, 1926",The United States,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
attributed-no-source,http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,"June 01, 1926",The United States,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"
"hope,inspirational",http://quotes.toscrape.com/author/Martin-Luther-King-Jr,Martin Luther King Jr.,"January 15, 1929","Atlanta, Georgia, The United States",“Only in the darkness can you see the stars.”
dumbledore,http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kingdom","“It matters not what someone is born, but what they grow to be.”"
love,http://quotes.toscrape.com/author/James-Baldwin,James Baldwin,"August 02, 1924","Harlem, New York, The United States","“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”"
